label,peak_height
cerrar,57.05
cerrar,58.25
cerrar,59.95
cerrar,56.55
cerrar,66.55
cerrar,53.35
cerrar,51.55
cerrar,60.65
cerrar,57.2
cerrar,56.0
cerrar,52.1
cerrar,58.95
cerrar,54.35
cerrar,61.3
cerrar,56.3
cerrar,50.65
cerrar,54.8
cerrar,51.7
cerrar,53.35
cerrar,57.55
cerrar,57.65
cerrar,52.75
cerrar,50.6
cerrar,68.1
cerrar,50.0
cerrar,55.25
cerrar,57.05
corazon,13.85
corazon,5.15
corazon,14.0
corazon,9.0
corazon,12.0
corazon,13.0
corazon,14.0
corazon,14.0
corazon,11.0
corazon,14.0
corazon,14.0
corazon,13.0
corazon,6.0
corazon,6.7
corazon,6.85
corazon,10.0
corazon,12.45
corazon,9.95
corazon,6.55
corazon,9.45
corazon,12.0
corazon,9.0
corazon,11.0
corazon,12.0
corazon,7.65
corazon,14.0
corazon,13.0
corazon,14.0
corazon,14.0
corazon,13.0
corazon,12.7
corazon,14.0
corazon,14.0
corazon,14.0
corazon,10.0
corazon,13.0
corazon,11.0
corazon,14.0
corazon,12.2
corazon,9.0
corazon,13.0
corazon,8.0
corazon,11.0
corazon,13.0
corazon,7.0
corazon,12.0
corazon,8.0
corazon,6.15
corazon,12.0
corazon,11.0
corazon,7.25
corazon,11.2
corazon,9.75
corazon,7.4
corazon,7.899999999999999
corazon,10.149999999999999
corazon,7.4
corazon,7.199999999999999
corazon,8.55
corazon,9.8
corazon,10.15
corazon,12.5
corazon,8.75
corazon,13.399999999999999
corazon,13.45
corazon,13.149999999999999
corazon,7.699999999999999
corazon,7.600000000000001
corazon,9.3
corazon,7.0
corazon,7.25
corazon,8.3
corazon,9.45
corazon,6.949999999999999
corazon,8.4
corazon,7.800000000000001
corazon,9.95
corazon,13.7
corazon,7.800000000000001
corazon,9.25
corazon,8.9
corazon,9.25
corazon,6.800000000000001
corazon,6.949999999999999
corazon,10.149999999999999
corazon,12.2
corazon,7.65
corazon,8.5
corazon,12.4
corazon,9.9
corazon,8.4
corazon,8.55
corazon,6.6
corazon,6.5
corazon,13.85
corazon,10.399999999999999
corazon,12.65
corazon,9.15
corazon,7.3
corazon,7.05
corazon,7.4
corazon,9.75
corazon,10.3
corazon,7.5
corazon,8.8
corazon,11.95
corazon,6.0
corazon,4.5
corazon,6.75
corazon,12.45
corazon,8.65
corazon,8.2
corazon,8.45
corazon,9.4
deditos,35.85
deditos,32.95
deditos,28.9
deditos,29.95
deditos,29.55
deditos,36.0
deditos,33.85
deditos,33.3
deditos,32.45
deditos,30.0
deditos,32.45
deditos,31.7
deditos,33.4
deditos,39.5
deditos,39.0
deditos,34.4
deditos,34.8
deditos,31.95
deditos,30.15
deditos,30.75
deditos,33.55
deditos,36.5
deditos,36.35
deditos,39.15
deditos,37.25
deditos,34.65
deditos,29.450000000000003
deditos,37.5
deditos,31.0
deditos,35.85
deditos,38.95
deditos,40.3
deditos,32.55
deditos,40.15
deditos,32.95
deditos,33.35
deditos,31.6
deditos,31.299999999999997
4dedos,26.1
4dedos,26.0
4dedos,24.15
4dedos,31.65
4dedos,27.0
4dedos,33.3
4dedos,32.6
4dedos,30.4
4dedos,22.200000000000003
4dedos,29.5
4dedos,25.05
4dedos,25.15
4dedos,28.45
4dedos,30.95
4dedos,22.1
4dedos,31.1
4dedos,25.05
4dedos,25.5
4dedos,25.1
4dedos,29.15
4dedos,29.65
4dedos,22.65
4dedos,23.0
4dedos,31.65
4dedos,29.35
4dedos,31.85
4dedos,31.25
4dedos,27.65
4dedos,27.0
4dedos,25.35
